 0.14990E+04  0.94522E+00
 0.15041E+04  0.90927E+00
 0.15055E+04  0.98179E+00
 0.15097E+04  0.10275E+01
 0.15114E+04  0.95417E+00
 0.15151E+04  0.97990E+00
 0.15174E+04  0.92163E+00
 0.15219E+04  0.98456E+00
 0.15241E+04  0.98300E+00
 0.15249E+04  0.88583E+00
 0.15286E+04  0.89637E+00
 0.15328E+04  0.98099E+00
 0.15348E+04  0.10602E+01
 0.15363E+04  0.92427E+00
 0.15381E+04  0.94039E+00
 0.15410E+04  0.91166E+00
 0.15434E+04  0.92548E+00
 0.15462E+04  0.95540E+00
 0.15486E+04  0.97567E+00
 0.15503E+04  0.91849E+00
 0.15533E+04  0.96772E+00
 0.15540E+04  0.92464E+00
 0.15565E+04  0.90732E+00
 0.15583E+04  0.93949E+00
 0.15613E+04  0.97024E+00
 0.15627E+04  0.92123E+00
 0.15652E+04  0.89727E+00
 0.15681E+04  0.97907E+00
 0.15702E+04  0.90327E+00
 0.15716E+04  0.93546E+00
 0.15747E+04  0.98288E+00
 0.15760E+04  0.91192E+00
 0.15784E+04  0.95209E+00
 0.15806E+04  0.97271E+00
 0.15825E+04  0.94258E+00
 0.15851E+04  0.90174E+00
 0.15863E+04  0.88191E+00
 0.15885E+04  0.86480E+00
 0.15916E+04  0.86833E+00
 0.15942E+04  0.96388E+00
 0.15978E+04  0.10232E+01
 0.16006E+04  0.10420E+01
 0.16019E+04  0.10203E+01
 0.16053E+04  0.99137E+00
 0.16088E+04  0.97234E+00
 0.16113E+04  0.95528E+00
 0.16144E+04  0.94391E+00
 0.16165E+04  0.10025E+01
 0.16194E+04  0.95004E+00
 0.16224E+04  0.96915E+00
 0.16236E+04  0.10066E+01
 0.16264E+04  0.10051E+01
 0.16280E+04  0.96243E+00
 0.16293E+04  0.93120E+00
 0.16314E+04  0.98914E+00
 0.16326E+04  0.10063E+01
 0.16354E+04  0.10099E+01
 0.16373E+04  0.96530E+00
 0.16392E+04  0.93443E+00
 0.16427E+04  0.91762E+00
 0.16442E+04  0.95451E+00
 0.16454E+04  0.97888E+00
 0.16472E+04  0.10023E+01
 0.16498E+04  0.92602E+00
 0.16531E+04  0.97610E+00
 0.16549E+04  0.10140E+01
 0.16560E+04  0.93694E+00
 0.16591E+04  0.94062E+00
 0.16615E+04  0.97758E+00
 0.16628E+04  0.92885E+00
 0.16662E+04  0.96177E+00
 0.16686E+04  0.99727E+00
 0.16705E+04  0.96156E+00
 0.16753E+04  0.90900E+00
 0.16779E+04  0.98154E+00
 0.16792E+04  0.94098E+00
 0.16810E+04  0.97804E+00
 0.16836E+04  0.93333E+00
 0.16847E+04  0.98626E+00
 0.16870E+04  0.95579E+00
