           0
 F
           0
 F
           4
  4.0000000E-07
  0.0000000E+00
   1.900000    
  0.2000000    
   1.200000    
           2
   1000.000    
  0.0000000E+00
 F
  0.0000000E+00
   141.0000    
        1024
  0.0000000E+00   1.444600       19.13300    
 -0.4565875E+02  0.2383481E+02 -0.6949356E+02  0.3131659E+04  0.3131659E+04
 -0.4270073E+02  0.2455522E+02 -0.6725596E+02  0.3178701E+04  0.3178701E+04
 -0.4172841E+02  0.2511433E+02 -0.6684274E+02  0.3156729E+04  0.3156729E+04
 -0.4274176E+02  0.2551214E+02 -0.6825390E+02  0.3126742E+04  0.3126742E+04
 -0.4375512E+02  0.2590994E+02 -0.6966506E+02  0.3254755E+04  0.3254755E+04
 -0.4476847E+02  0.2630775E+02 -0.7107623E+02  0.3375769E+04  0.3375769E+04
 -0.4485730E+02  0.2674158E+02 -0.7159888E+02  0.3374857E+04  0.3374857E+04
 -0.4402158E+02  0.2721145E+02 -0.7123302E+02  0.3517021E+04  0.3517021E+04
 -0.4318586E+02  0.2768131E+02 -0.7086716E+02  0.3282186E+04  0.3282186E+04
 -0.4235014E+02  0.2815117E+02 -0.7050130E+02  0.3345350E+04  0.3345350E+04
 -0.4176656E+02  0.2858625E+02 -0.7035281E+02  0.3321767E+04  0.3321767E+04
 -0.4143513E+02  0.2898656E+02 -0.7042169E+02  0.3195435E+04  0.3195435E+04
 -0.4110370E+02  0.2938687E+02 -0.7049058E+02  0.3269104E+04  0.3269104E+04
 -0.4077227E+02  0.2978718E+02 -0.7055946E+02  0.3198772E+04  0.3198772E+04
 -0.4062722E+02  0.3017248E+02 -0.7079970E+02  0.3352627E+04  0.3352627E+04
 -0.4066853E+02  0.3054277E+02 -0.7121130E+02  0.3387668E+04  0.3387668E+04
 -0.4070985E+02  0.3091306E+02 -0.7162290E+02  0.3363710E+04  0.3363710E+04
 -0.4075116E+02  0.3128335E+02 -0.7203451E+02  0.3357751E+04  0.3357751E+04
 -0.4054115E+02  0.3166502E+02 -0.7220617E+02  0.3359541E+04  0.3359541E+04
 -0.4007980E+02  0.3205809E+02 -0.7213789E+02  0.3447080E+04  0.3447080E+04
 -0.3961845E+02  0.3245115E+02 -0.7206960E+02  0.3363618E+04  0.3363618E+04
 -0.3915710E+02  0.3284421E+02 -0.7200131E+02  0.3313157E+04  0.3313157E+04
 -0.3887421E+02  0.3321966E+02 -0.7209388E+02  0.3413874E+04  0.3413874E+04
 -0.3876978E+02  0.3357751E+02 -0.7234728E+02  0.3396770E+04  0.3396770E+04
 -0.3866534E+02  0.3393535E+02 -0.7260070E+02  0.3382665E+04  0.3382665E+04
 -0.3856091E+02  0.3429320E+02 -0.7285410E+02  0.3370561E+04  0.3370561E+04
 -0.3842799E+02  0.3464899E+02 -0.7307698E+02  0.3465428E+04  0.3465428E+04
 -0.3826658E+02  0.3500274E+02 -0.7326932E+02  0.3445267E+04  0.3445267E+04
 -0.3810517E+02  0.3535648E+02 -0.7346165E+02  0.3364105E+04  0.3364105E+04
 -0.3794376E+02  0.3571023E+02 -0.7365398E+02  0.3406944E+04  0.3406944E+04
 -0.3782876E+02  0.3604808E+02 -0.7387684E+02  0.3359829E+04  0.3359829E+04
 -0.3776019E+02  0.3637003E+02 -0.7413022E+02  0.3483760E+04  0.3483760E+04
 -0.3769161E+02  0.3669199E+02 -0.7438360E+02  0.3384692E+04  0.3384692E+04
 -0.3762303E+02  0.3701395E+02 -0.7463698E+02  0.3448623E+04  0.3448623E+04
 -0.3746813E+02  0.3733934E+02 -0.7480747E+02  0.3516468E+04  0.3516468E+04
 -0.3722691E+02  0.3766817E+02 -0.7489508E+02  0.3458227E+04  0.3458227E+04
 -0.3698568E+02  0.3799701E+02 -0.7498269E+02  0.3422986E+04  0.3422986E+04
 -0.3674446E+02  0.3832584E+02 -0.7507030E+02  0.3394744E+04  0.3394744E+04
 -0.3640854E+02  0.3865083E+02 -0.7505937E+02  0.3533408E+04  0.3533408E+04
 -0.3597794E+02  0.3897195E+02 -0.7494990E+02  0.3534978E+04  0.3534978E+04
 -0.3554734E+02  0.3929308E+02 -0.7484042E+02  0.3493547E+04  0.3493547E+04
 -0.3511674E+02  0.3961421E+02 -0.7473095E+02  0.3513117E+04  0.3513117E+04
 -0.3465249E+02  0.3992073E+02 -0.7457322E+02  0.3481653E+04  0.3481653E+04
 -0.3415459E+02  0.4021264E+02 -0.7436723E+02  0.3328155E+04  0.3328155E+04
 -0.3365670E+02  0.4050455E+02 -0.7416125E+02  0.3414657E+04  0.3414657E+04
 -0.3315880E+02  0.4079646E+02 -0.7395526E+02  0.3347159E+04  0.3347159E+04
 -0.3310951E+02  0.4107285E+02 -0.7418236E+02  0.3415110E+04  0.3415110E+04
 -0.3350883E+02  0.4133372E+02 -0.7484254E+02  0.3498509E+04  0.3498509E+04
 -0.3390814E+02  0.4159459E+02 -0.7550274E+02  0.3509908E+04  0.3509908E+04
 -0.3430746E+02  0.4185547E+02 -0.7616293E+02  0.3439307E+04  0.3439307E+04
 -0.3429803E+02  0.4214887E+02 -0.7644690E+02  0.3658298E+04  0.3658298E+04
 -0.3387987E+02  0.4247479E+02 -0.7635466E+02  0.3541880E+04  0.3541880E+04
 -0.3346170E+02  0.4280072E+02 -0.7626243E+02  0.3450462E+04  0.3450462E+04
 -0.3304354E+02  0.4312664E+02 -0.7617019E+02  0.3387043E+04  0.3387043E+04
 -0.3291846E+02  0.4342444E+02 -0.7634290E+02  0.3576918E+04  0.3576918E+04
 -0.3308645E+02  0.4369411E+02 -0.7678056E+02  0.3512086E+04  0.3512086E+04
 -0.3325444E+02  0.4396377E+02 -0.7721822E+02  0.3545254E+04  0.3545254E+04
 -0.3342244E+02  0.4423344E+02 -0.7765588E+02  0.3571422E+04  0.3571422E+04
 -0.3326646E+02  0.4451764E+02 -0.7778410E+02  0.3600266E+04  0.3600266E+04
 -0.3278652E+02  0.4481638E+02 -0.7760290E+02  0.3537787E+04  0.3537787E+04
 -0.3230658E+02  0.4511512E+02 -0.7742170E+02  0.3512307E+04  0.3512307E+04
 -0.3182664E+02  0.4541386E+02 -0.7724049E+02  0.3528827E+04  0.3528827E+04
 -0.3143849E+02  0.4569310E+02 -0.7713158E+02  0.3474438E+04  0.3474438E+04
 -0.3114213E+02  0.4595283E+02 -0.7709496E+02  0.3619142E+04  0.3619142E+04
 -0.3084577E+02  0.4621257E+02 -0.7705833E+02  0.3534846E+04  0.3534846E+04
 -0.3054941E+02  0.4647230E+02 -0.7702171E+02  0.3495549E+04  0.3495549E+04
 -0.3045341E+02  0.4672190E+02 -0.7717531E+02  0.3541453E+04  0.3541453E+04
 -0.3055776E+02  0.4696137E+02 -0.7751913E+02  0.3548558E+04  0.3548558E+04
 -0.3066212E+02  0.4720084E+02 -0.7786295E+02  0.3629662E+04  0.3629662E+04
