NDF v9.6h 11Sep15 rev 12Mar16 run 06/07/2026 18:07:32 Filename: 671f0101.dat Nuno Barradas (Laboratório de Feixes de Iões), Campus Tecnológico e Nuclear, Instituto Superior Técnico
batch 671131.spc                                                                    
str 671131s.str                                                                   
file 671131R1.odf                                                                  
geo 671131g.geo                                                                   
 channel data fit
  231  0.14960E+04  0.14805E+04
  232  0.15570E+04  0.14789E+04
  233  0.15060E+04  0.14769E+04
  234  0.15280E+04  0.14742E+04
  235  0.15550E+04  0.14710E+04
  236  0.14700E+04  0.14673E+04
  237  0.14660E+04  0.14628E+04
  238  0.14350E+04  0.14576E+04
  239  0.14610E+04  0.14514E+04
  240  0.15260E+04  0.14445E+04
  241  0.15110E+04  0.14369E+04
  242  0.14800E+04  0.14288E+04
  243  0.15380E+04  0.14203E+04
  244  0.14350E+04  0.14114E+04
  245  0.15070E+04  0.14023E+04
  246  0.14960E+04  0.13931E+04
  247  0.15730E+04  0.13840E+04
  248  0.14990E+04  0.13753E+04
  249  0.14620E+04  0.13667E+04
  250  0.15170E+04  0.13583E+04
  251  0.14370E+04  0.13500E+04
  252  0.14390E+04  0.13418E+04
  253  0.15050E+04  0.13340E+04
  254  0.14720E+04  0.13264E+04
  255  0.13970E+04  0.13191E+04
  256  0.14020E+04  0.13121E+04
  257  0.14220E+04  0.13054E+04
  258  0.14260E+04  0.12989E+04
  259  0.14160E+04  0.12925E+04
  260  0.14060E+04  0.12863E+04
  261  0.14340E+04  0.12807E+04
  262  0.13610E+04  0.12747E+04
  263  0.13540E+04  0.12689E+04
  264  0.14080E+04  0.12633E+04
  265  0.13990E+04  0.12578E+04
  266  0.14300E+04  0.12524E+04
  267  0.13270E+04  0.12473E+04
  268  0.12970E+04  0.12423E+04
  269  0.13920E+04  0.12375E+04
  270  0.12950E+04  0.12330E+04
  271  0.13190E+04  0.12289E+04
  272  0.13700E+04  0.12253E+04
  273  0.12360E+04  0.12221E+04
  274  0.12560E+04  0.12192E+04
  275  0.13310E+04  0.12165E+04
  276  0.12660E+04  0.12139E+04
  277  0.12790E+04  0.12117E+04
  278  0.12990E+04  0.12099E+04
  279  0.12590E+04  0.12085E+04
  280  0.13310E+04  0.12076E+04
  281  0.12570E+04  0.12070E+04
  282  0.12990E+04  0.12066E+04
  283  0.13640E+04  0.12066E+04
  284  0.12370E+04  0.12068E+04
  285  0.12660E+04  0.12072E+04
  286  0.12240E+04  0.12077E+04
  287  0.13120E+04  0.12081E+04
  288  0.12410E+04  0.12085E+04
  289  0.13040E+04  0.12088E+04
  290  0.12710E+04  0.12091E+04
  291  0.12400E+04  0.12092E+04
  292  0.12070E+04  0.12093E+04
  293  0.12680E+04  0.12092E+04
  294  0.12100E+04  0.12090E+04
  295  0.12260E+04  0.12086E+04
  296  0.13090E+04  0.12081E+04
  297  0.12370E+04  0.12074E+04
  298  0.13090E+04  0.12066E+04
  299  0.12750E+04  0.12058E+04
  300  0.12170E+04  0.12049E+04
  301  0.12040E+04  0.12040E+04
  302  0.12620E+04  0.12030E+04
  303  0.12690E+04  0.12021E+04
  304  0.12800E+04  0.12012E+04
  305  0.12670E+04  0.12004E+04
  306  0.13030E+04  0.11997E+04
  307  0.12240E+04  0.11992E+04
  308  0.12420E+04  0.11989E+04
  309  0.12610E+04  0.11988E+04
  310  0.11570E+04  0.11988E+04
  311  0.12850E+04  0.11989E+04
  312  0.13010E+04  0.11990E+04
  313  0.13390E+04  0.11992E+04
  314  0.12940E+04  0.11997E+04
  315  0.12910E+04  0.12005E+04
  316  0.12320E+04  0.12018E+04
  317  0.11920E+04  0.12033E+04
  318  0.11910E+04  0.12048E+04
  319  0.12150E+04  0.12060E+04
  320  0.12740E+04  0.12070E+04
  321  0.13130E+04  0.12080E+04
  322  0.12320E+04  0.12090E+04
  323  0.12760E+04  0.12104E+04
  324  0.12840E+04  0.12120E+04
  325  0.12380E+04  0.12136E+04
  326  0.12160E+04  0.12152E+04
  327  0.12780E+04  0.12168E+04
  328  0.13020E+04  0.12184E+04
  329  0.12860E+04  0.12200E+04
  330  0.12440E+04  0.12216E+04
  331  0.11890E+04  0.12232E+04
  332  0.12910E+04  0.12248E+04
  333  0.12560E+04  0.12264E+04
  334  0.12430E+04  0.12280E+04
  335  0.12300E+04  0.12295E+04
  336  0.12520E+04  0.12310E+04
  337  0.12680E+04  0.12324E+04
  338  0.13550E+04  0.12338E+04
  339  0.12530E+04  0.12353E+04
  340  0.12190E+04  0.12368E+04
  341  0.12340E+04  0.12384E+04
  342  0.13270E+04  0.12399E+04
  343  0.13140E+04  0.12414E+04
  344  0.12620E+04  0.12429E+04
  345  0.12900E+04  0.12444E+04
  346  0.13550E+04  0.12459E+04
  347  0.13360E+04  0.12476E+04
  348  0.12330E+04  0.12494E+04
  349  0.12410E+04  0.12512E+04
  350  0.12250E+04  0.12530E+04
  351  0.13070E+04  0.12547E+04
  352  0.12760E+04  0.12561E+04
  353  0.13010E+04  0.12576E+04
  354  0.12870E+04  0.12590E+04
  355  0.13040E+04  0.12605E+04
  356  0.12480E+04  0.12621E+04
  357  0.13640E+04  0.12626E+04
  358  0.12870E+04  0.12641E+04
  359  0.13340E+04  0.12657E+04
  360  0.13360E+04  0.12673E+04
  361  0.13310E+04  0.12689E+04
  362  0.13170E+04  0.12705E+04
  363  0.13250E+04  0.12720E+04
  364  0.13340E+04  0.12735E+04
  365  0.12630E+04  0.12764E+04
  366  0.12780E+04  0.12779E+04
  367  0.12480E+04  0.12794E+04
  368  0.12910E+04  0.12810E+04
  369  0.12640E+04  0.12825E+04
  370  0.13000E+04  0.12840E+04
  371  0.12900E+04  0.12855E+04
  372  0.11970E+04  0.12868E+04
  373  0.12850E+04  0.12880E+04
  374  0.12940E+04  0.12892E+04
  375  0.13370E+04  0.12903E+04
  376  0.12720E+04  0.12913E+04
