0,1,0,0,1,0,3,1,2,0,2,2,0,3,1,1,3,0,1,0,3,2,0,2,0,0,1,2,0,0,0,0,2,2,1,1,2,1,2,0,1,1,0,0,0,0,2,1,1,1,2,0,1,2,4,4,1,3,3,0,1,4,0,3,2,2,0,1,0,0,1,1,1,0,0,1,2,1,2,0,0,2,2,1,2,1,2,3,1,0,1,1,1,2,0,2,0,0,0,2,3,1,2,2,2,0,3,2,2,1,1,1,2,1,1,0,3,3,0,1,1,4,1,1,0,2,1,0,2,0,2,2,0,1,0,0,1,2,4,2,0,2,3,0,0,2,0,0,1,0,1,0,2,3,2,2,3,1,5,1,0,0,2,5,1,1,0,1,0,2,0,1,4,1,1,3,1,0,3,5,2,2,2,1,1,3,7,13,21,27,38,48,49,51,43,33,46,30,26,39,37,41,41,36,36,34,32,27,25,30,33,31,26,34,37,31,29,32,33,39,34,28,39,30,35,38,44,51,39,36,48,44,33,47,43,44,40,40,40,38,42,37,35,29,32,32,28,25,35,35,36,36,35,36,30,25
0,0,0,0,1,1,1,1,3,2,2,3,3,1,1,2,0,2,0,1,1,4,1,1,0,1,3,0,0,0,1,0,0,1,1,2,0,2,3,2,2,1,3,0,1,1,1,3,0,1,0,1,2,0,0,0,3,1,2,1,0,2,1,1,1,4,1,0,2,1,2,1,1,1,1,2,0,2,3,0,0,0,0,3,1,1,2,2,1,1,3,4,0,3,1,2,2,0,1,0,0,0,1,0,1,2,0,2,0,1,2,3,1,1,1,1,0,2,1,0,3,0,0,2,0,1,1,2,3,1,2,0,3,0,0,0,2,3,0,0,2,1,1,0,1,1,1,2,2,0,1,2,4,3,1,2,1,3,1,3,1,1,1,2,3,2,3,2,0,5,1,3,0,0,0,1,0,1,2,2,3,3,0,3,3,7,13,22,31,30,40,40,48,35,42,36,25,31,35,30,34,36,32,36,29,33,33,39,33,38,28,31,23,32,26,26,26,33,29,23,22,30,42,45,38,35,36,35,40,32,44,47,42,50,30,43,34,45,44,38,45,45,34,29,34,40,40,43,29,33,33,31,32,35,35,29
0,0,0,3,0,1,2,1,0,2,0,0,1,3,0,4,1,1,1,1,0,3,1,1,1,2,2,1,1,2,0,0,2,0,1,1,2,3,1,0,0,2,0,1,3,2,3,1,2,1,0,3,0,5,1,0,2,1,0,0,1,1,1,2,1,0,2,1,1,0,0,2,1,1,0,1,0,1,2,3,1,1,2,2,1,1,1,2,0,0,1,4,2,0,0,1,4,1,0,0,3,0,3,0,2,0,1,1,1,1,0,3,1,1,1,3,2,0,2,2,2,0,4,3,1,0,1,1,5,4,2,1,2,1,3,0,1,1,0,0,1,2,3,1,1,0,1,3,0,0,2,2,0,0,2,1,1,0,2,3,0,1,0,1,0,2,0,1,0,3,1,3,1,2,1,0,0,1,3,0,1,4,3,6,2,11,20,29,37,36,38,43,42,40,32,25,19,18,29,25,27,30,30,23,27,39,39,33,41,31,32,34,35,33,39,35,33,32,33,28,39,26,52,41,36,37,28,38,35,33,39,45,36,36,44,36,49,44,45,38,33,33,30,27,25,23,36,29,28,33,36,37,39,27,44,36
1,1,0,2,2,1,3,0,2,1,2,1,3,0,0,1,2,0,2,0,1,0,1,2,1,2,1,1,2,0,1,0,0,0,2,2,0,1,1,1,0,1,1,2,1,4,1,2,1,2,1,0,3,0,0,3,0,2,4,1,0,2,1,2,0,0,0,1,4,1,2,1,2,3,0,1,1,0,0,2,1,1,1,2,3,1,0,1,1,2,1,0,0,1,1,2,2,0,2,1,0,1,2,2,3,1,2,0,1,2,2,1,0,2,3,0,2,1,3,0,0,0,3,1,1,1,2,1,1,0,0,4,3,1,1,0,0,0,1,1,2,1,0,3,4,1,1,0,1,3,2,0,0,0,2,0,3,1,3,0,2,0,3,1,0,1,2,0,0,1,1,3,2,1,1,2,1,0,3,2,0,5,5,13,17,16,29,35,36,38,57,38,53,37,42,20,16,20,12,14,20,31,36,29,24,26,39,44,41,35,23,26,31,33,31,27,35,28,33,25,33,25,41,35,28,29,34,36,26,28,45,37,30,38,40,41,50,41,46,41,41,43,31,34,37,35,34,45,35,30,40,31,36,33,41,40
1,1,2,0,2,1,0,3,2,0,0,2,1,1,1,1,0,1,2,1,1,2,0,1,1,1,0,2,2,1,1,1,4,1,1,0,0,1,0,1,0,1,1,2,2,0,2,1,1,0,0,6,1,0,2,1,0,0,0,0,0,2,1,1,0,2,0,2,1,1,1,3,2,0,0,2,2,1,1,2,1,3,1,2,0,2,1,1,2,1,1,1,3,2,1,0,1,0,1,0,1,1,0,2,2,1,2,1,0,1,1,3,0,0,2,2,1,2,1,0,3,3,2,0,2,0,0,3,2,3,1,3,0,1,1,1,2,1,0,1,3,2,0,2,1,2,4,3,0,3,2,0,0,1,2,0,0,2,3,4,1,2,3,4,2,3,2,1,2,2,4,2,1,3,1,2,3,3,1,1,2,0,14,20,25,25,29,34,42,38,37,36,41,41,32,17,11,12,12,14,12,14,27,27,23,28,44,33,36,33,30,38,31,42,27,27,27,31,38,34,30,31,38,40,32,35,47,36,41,42,40,37,37,33,38,59,44,35,35,45,46,34,49,36,44,34,38,21,29,36,26,33,36,21,32,47
0,0,1,0,1,2,2,1,1,1,1,1,1,1,2,2,1,0,1,1,0,5,0,0,0,2,2,2,0,0,1,1,1,0,1,0,0,1,1,0,1,1,2,1,1,1,1,1,1,5,2,2,0,2,0,3,2,1,0,2,1,1,0,1,2,0,1,1,1,1,1,0,1,1,1,1,3,0,2,1,1,3,4,0,2,1,0,3,2,2,0,0,1,0,1,1,3,0,1,1,0,0,1,3,0,2,2,1,3,2,0,1,3,0,0,0,0,2,1,0,0,1,1,0,1,1,1,2,3,2,2,1,1,2,0,2,0,1,3,1,0,1,1,0,3,0,0,4,1,1,0,2,3,1,0,1,1,2,0,1,4,1,1,0,0,2,0,1,1,0,3,2,2,0,1,1,1,1,1,0,2,8,15,25,28,38,32,39,52,55,50,41,39,44,30,17,8,11,13,12,13,22,34,34,32,29,37,42,38,39,30,30,26,36,35,36,27,31,35,30,28,35,43,46,35,48,44,38,39,33,35,38,41,36,46,41,52,35,56,47,34,40,47,41,34,28,42,40,31,28,35,39,25,36,27,31
1,4,1,0,2,0,0,3,0,2,1,1,0,0,1,0,1,2,0,0,1,0,0,1,0,1,3,2,1,0,1,1,0,0,0,2,2,1,2,1,1,1,1,3,1,0,1,1,1,0,3,1,3,2,1,0,1,2,1,1,0,0,2,3,1,0,0,1,2,1,0,0,2,2,3,2,1,1,0,1,1,0,1,1,2,0,2,1,1,0,0,2,0,2,1,4,0,1,1,1,2,1,2,3,1,5,3,1,1,3,0,2,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,3,2,0,1,1,1,1,2,0,1,1,3,1,4,2,1,1,1,1,2,2,0,1,0,1,0,0,0,3,5,3,2,1,2,3,0,1,3,0,1,0,2,1,1,5,2,2,0,4,2,2,2,5,8,16,24,30,33,31,41,39,38,47,41,30,23,25,20,14,12,15,10,13,11,17,29,36,40,35,35,33,38,42,37,27,38,26,32,34,31,35,28,36,35,46,41,48,39,42,38,55,35,44,43,36,42,40,33,30,36,52,52,47,34,29,42,43,36,35,31,28,33,26,37,29,33,23,29
0,3,2,2,0,1,0,0,2,0,1,1,0,1,2,1,2,0,2,1,2,4,1,1,3,1,0,1,2,2,1,3,1,0,0,1,2,2,1,6,1,1,5,3,0,1,1,1,2,0,0,2,0,0,0,3,0,1,2,2,1,2,0,1,0,4,0,2,3,1,1,1,0,1,2,1,1,0,2,1,0,0,1,2,1,2,0,0,0,0,1,1,3,2,1,2,1,1,2,2,1,1,2,0,2,0,4,1,1,1,0,1,1,1,0,3,1,2,0,1,1,0,2,2,1,0,2,2,0,2,0,1,1,0,1,1,1,2,0,0,1,2,2,0,0,1,1,3,1,0,2,0,0,0,1,2,1,1,2,3,2,0,1,1,3,1,0,0,1,2,2,3,4,3,2,2,0,2,4,5,8,8,26,33,45,44,39,50,42,34,46,37,30,34,25,27,11,8,18,7,17,18,34,28,40,25,34,31,36,28,40,39,37,27,34,40,35,28,41,27,33,45,48,36,36,36,41,35,38,38,52,48,44,35,42,38,45,44,42,40,46,38,46,42,33,38,41,34,33,43,43,33,30,26,30,30
1,1,2,0,1,1,0,1,1,0,0,0,0,0,1,1,4,2,0,1,0,2,2,1,0,1,2,0,1,1,0,1,0,0,0,0,0,2,0,0,4,3,4,3,0,1,0,2,1,0,0,1,0,0,2,2,3,0,0,2,3,3,3,1,2,1,0,0,2,0,0,1,2,1,0,0,1,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,2,2,2,1,1,0,2,0,1,0,2,2,2,1,3,1,0,1,4,3,0,1,1,1,0,1,2,1,1,1,2,1,2,1,1,1,1,2,1,1,2,2,1,1,1,0,0,1,0,0,0,1,1,1,2,1,3,1,1,1,2,1,0,0,2,1,0,1,2,2,2,0,1,1,3,1,2,3,3,1,4,1,3,8,3,2,6,9,9,13,26,46,38,39,46,49,39,44,40,38,33,28,26,17,13,11,23,19,19,22,34,29,39,30,28,37,46,32,32,37,26,37,34,41,55,39,43,39,39,44,38,36,39,43,29,39,42,42,38,40,38,45,41,44,45,42,42,43,41,40,34,46,36,33,31,33,44,41,37,31,34,27,23,27
0,0,0,0,2,3,3,0,0,1,0,2,0,3,1,1,1,0,0,0,4,0,1,0,1,1,1,3,0,1,1,2,1,1,3,1,2,0,0,5,0,3,0,1,2,3,2,0,1,2,1,0,0,1,0,0,1,0,0,1,0,1,3,3,1,3,1,1,2,1,2,2,0,0,2,1,1,0,0,1,4,2,0,1,2,3,0,0,1,1,1,1,1,0,3,3,0,1,3,0,0,2,1,1,1,1,0,1,2,1,1,3,1,2,1,0,0,1,3,0,3,2,3,1,1,2,1,1,0,0,3,1,4,0,1,2,1,2,1,4,2,1,0,5,2,2,1,0,1,3,2,1,0,0,0,0,1,3,1,3,1,1,3,1,0,1,3,0,2,1,2,2,9,4,9,8,10,13,14,15,31,27,38,34,40,47,48,44,40,29,38,30,26,29,24,12,5,20,22,19,27,27,35,37,37,37,34,29,45,32,40,42,32,39,39,40,31,44,33,38,33,46,34,36,35,37,34,39,35,32,37,38,29,35,40,46,51,33,33,42,34,41,34,31,40,33,37,25,40,34,29,27,23,40,20,25
