NDF v9.6h 11Sep15 rev 12Mar16 run 01/05/2026 17:05:16 Filename: 671x0101.dat Nuno Barradas (Laboratório de Feixes de Iões), Campus Tecnológico e Nuclear, Instituto Superior Técnico
batch 671136.spc                                                                    
str 671136s.str                                                                   
file 671136R1.odf                                                                  
geo 671136g.geo                                                                   
elements 12
 S     Cl    K     Ca    Ti    Fe    Cu    O     Sr    Br    Rb    Se   
 channel elements... background
    45  0.26364E+03  0.20887E+01  0.12424E+00  0.64734E-01  0.96156E-01  0.30082E+03  0.34497E+03  0.25086E+03  0.28391E+00  0.52394E-01  0.18485E+00  0.49478E-01  0.26613E+03
    46  0.26596E+03  0.21075E+01  0.12537E+00  0.65332E-01  0.97036E-01  0.30368E+03  0.34827E+03  0.25283E+03  0.28669E+00  0.52893E-01  0.18660E+00  0.49948E-01  0.26608E+03
    47  0.26822E+03  0.21259E+01  0.12648E+00  0.65917E-01  0.97899E-01  0.30648E+03  0.35151E+03  0.25476E+03  0.28940E+00  0.53383E-01  0.18831E+00  0.50410E-01  0.26604E+03
    48  0.27043E+03  0.21440E+01  0.12756E+00  0.66489E-01  0.98744E-01  0.30922E+03  0.35469E+03  0.25665E+03  0.29207E+00  0.53863E-01  0.18999E+00  0.50863E-01  0.26598E+03
    49  0.27259E+03  0.21617E+01  0.12862E+00  0.67050E-01  0.99572E-01  0.31191E+03  0.35780E+03  0.25851E+03  0.29469E+00  0.54334E-01  0.19164E+00  0.51307E-01  0.26597E+03
    50  0.27471E+03  0.21790E+01  0.12966E+00  0.67598E-01  0.10038E+00  0.31455E+03  0.36085E+03  0.26033E+03  0.29725E+00  0.54796E-01  0.19326E+00  0.51743E-01  0.26600E+03
    51  0.27678E+03  0.21960E+01  0.13067E+00  0.68135E-01  0.10118E+00  0.31713E+03  0.36384E+03  0.26213E+03  0.29977E+00  0.55250E-01  0.19485E+00  0.52171E-01  0.26609E+03
    52  0.27881E+03  0.22127E+01  0.13167E+00  0.68661E-01  0.10196E+00  0.31966E+03  0.36677E+03  0.26390E+03  0.30224E+00  0.55695E-01  0.19641E+00  0.52591E-01  0.26624E+03
    53  0.28080E+03  0.22290E+01  0.13264E+00  0.69176E-01  0.10272E+00  0.32214E+03  0.36965E+03  0.26564E+03  0.30466E+00  0.56131E-01  0.19794E+00  0.53002E-01  0.26641E+03
    54  0.28275E+03  0.22451E+01  0.13360E+00  0.69680E-01  0.10347E+00  0.32457E+03  0.37247E+03  0.26736E+03  0.30703E+00  0.56560E-01  0.19945E+00  0.53406E-01  0.26659E+03
